"Identificador de la publicación","Enlace permanente","Mensaje de la publicación",Tipo,Países,Idiomas,Publicado,"Segmentación del público","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
111412183925455_166399328426740,https://www.facebook.com/sjjersey/posts/166399328426740,"Tejido con acabado antifluido",Photo,,,"09/30/2020 10:21:19 AM"," ",886,886,0,1038,1038,0,34,16,19,0,0,567,454,0,0,34,0,0,0,0,0,0,0,0,0,0,10,17,,10,17,,8,9,,,10,9,,,,,,
111412183925455_163624922037514,https://www.facebook.com/sjjersey/posts/163624922037514,"La mejor tecnología para obtener fibras largas y resistentes #COTTONUSA #SJJERSEY",Photo,,,"09/29/2020 05:00:00 PM"," ",2450,2450,0,2843,2843,0,60,26,30,0,0,793,647,0,0,35,0,0,0,0,0,0,0,0,0,0,7,30,,31,49,,13,15,,,15,15,,,,,,
111412183925455_164457878620885,https://www.facebook.com/sjjersey/posts/164457878620885,"Cómodas para estar en casa y protegidos fuera de ella. Prendas confeccionadas con telas de #SJJERSEY",Photo,,,"09/28/2020 05:00:00 AM"," ",2696,2696,0,3218,3218,0,61,37,46,0,0,857,700,0,0,40,0,0,0,0,0,0,0,0,0,0,5,23,3,30,40,4,27,13,,,33,13,,,,,,
111412183925455_164457411954265,https://www.facebook.com/sjjersey/posts/164457411954265,"Verte bien, sentirte protegido. Prendas confeccionadas con telas #SJJERSEY",Photo,,,"09/25/2020 05:00:01 PM"," ",2528,2528,0,3003,3003,0,56,27,30,0,0,889,711,0,0,38,0,0,0,0,0,0,0,0,0,0,7,33,,31,49,,16,11,,,19,11,,,,,,
111412183925455_163624655370874,https://www.facebook.com/sjjersey/posts/163624655370874,"Máxima calidad en el origen #COTTONUSA",Photo,,,"09/24/2020 06:00:01 PM"," ",4061,4061,0,4688,4688,0,114,72,82,0,0,1102,872,0,0,55,0,0,0,0,0,0,0,0,0,0,9,43,1,33,68,1,40,39,,,43,39,,,,,,
111412183925455_164445461955460,https://www.facebook.com/sjjersey/posts/164445461955460,"Prendas de uso diario, con protección antifluido. Se confeccionan con telas de #SJJERSEY",Photo,,,"09/23/2020 05:27:23 PM"," ",1571,1571,0,1870,1870,0,49,15,18,0,0,731,564,0,0,36,0,0,0,0,0,0,0,0,0,0,7,32,1,31,45,1,9,6,,,12,6,,,,,,
111412183925455_163624478704225,https://www.facebook.com/sjjersey/posts/163624478704225,"COTTON USA Fibra natural #Versátil #Orgánico #Hipoalergénico #Cómodo",Photo,,,"09/22/2020 05:00:00 PM"," ",1980,1980,0,2316,2316,0,67,37,42,0,0,765,592,0,0,42,0,0,0,0,0,0,0,0,0,0,7,31,3,32,39,3,25,13,,,28,14,,,,,,
111412183925455_160282109038462,https://www.facebook.com/sjjersey/posts/160282109038462,"Hasta 8 prendas por cada kilo de tela 100% Poliéster 
Tela para camisetas de campaña. Envíanos un mensaje
#JERSEYesCALIDAD",Photo,,,"09/21/2020 06:00:00 PM"," ",9210,4120,5375,12236,4717,7519,295,244,298,0,0,1657,995,526,248,58,0,0,0,0,0,0,0,0,0,0,8,52,30,32,68,57,187,32,52,,211,34,53,,,,,
111412183925455_163306375402702,https://www.facebook.com/sjjersey/posts/163306375402702,"Aprovecha el 15% DE DESCUENTO en Tejidos con acabado Antifluido. Protección, versatilidad y moda.",Photo,,,"09/21/2020 05:00:35 AM"," ",7522,3381,4235,10582,4033,6549,139,97,105,0,0,1381,869,402,199,42,0,0,0,0,0,0,0,0,0,0,13,43,,38,66,,44,40,17,,47,40,18,,,,,
